TradingDay,InstrumentID,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighestPrice,LowestPrice,Volume,Turnover,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,UpdateTime,UpdateMillisec,BidPrice1,BidVolume1,AskPrice1,AskVolume1,AveragePrice,ActionDay
20211013,cu2110,70310.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16570,5820187250.0,12440.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:00:58,500,70310.0,25,70360.0,5,351248.4761617381,20211013
20211013,cu2110,70310.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16570,5820187250.0,12440.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:03,500,70310.0,35,70360.0,5,351248.4761617381,20211013
20211013,cu2110,70310.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16570,5820187250.0,12440.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:05,0,70320.0,5,70360.0,5,351248.4761617381,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16575,5821945250.0,12435.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:05,500,70320.0,5,70360.0,5,351248.5822021116,20211013
20211013,cu2110,70320.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16580,5823703250.0,12435.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:06,0,70340.0,10,70360.0,5,351248.68817852833,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16585,5825461750.0,12430.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:06,500,70340.0,5,70360.0,5,351248.82423877,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16590,5827220250.0,12425.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:07,0,70310.0,30,70360.0,5,351248.9602169982,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16590,5827220250.0,12425.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:07,500,70310.0,35,70360.0,5,351248.9602169982,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16590,5827220250.0,12425.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:08,0,70310.0,30,70360.0,5,351248.9602169982,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16590,5827220250.0,12425.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:08,500,70310.0,35,70360.0,5,351248.9602169982,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16590,5827220250.0,12425.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:09,500,70340.0,5,70360.0,5,351248.9602169982,20211013
20211013,cu2110,70340.0,70310.0,69940.0,0.0,70490.0,70960.0,69860.0,16595,5828978750.0,12420.0,1.7976931348623157e+308,1.7976931348623157e+308,75930.0,64680.0,0.0,1.7976931348623157e+308,00:01:10,0,70310.0,30,70360.0,5,351249.09611328715,20211013
