TradingDay,InstrumentID,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighestPrice,LowestPrice,Volume,Turnover,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,UpdateTime,UpdateMillisec,BidPrice1,BidVolume1,AskPrice1,AskVolume1,AveragePrice,ActionDay
20211008,cu2110,69260.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21020,7310581500.0,36680.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:35,0,69240.0,5,69270.0,15,347791.6983824929,20211007
20211008,cu2110,69260.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21020,7310581500.0,36680.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:40,0,69240.0,5,69270.0,15,347791.6983824929,20211007
20211008,cu2110,69260.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21020,7310581500.0,36680.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:40,500,69240.0,5,69270.0,15,347791.6983824929,20211007
20211008,cu2110,69270.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21035,7315776500.0,36675.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:41,0,69240.0,5,69270.0,5,347790.6584264321,20211007
20211008,cu2110,69270.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21035,7315776500.0,36675.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:41,500,69240.0,10,69280.0,10,347790.6584264321,20211007
20211008,cu2110,69270.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21035,7315776500.0,36675.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:42,0,69250.0,5,69280.0,5,347790.6584264321,20211007
20211008,cu2110,69270.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21035,7315776500.0,36675.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:42,500,69250.0,5,69280.0,5,347790.6584264321,20211007
20211008,cu2110,69270.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21035,7315776500.0,36675.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:43,0,69250.0,10,69280.0,5,347790.6584264321,20211007
20211008,cu2110,69270.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21035,7315776500.0,36675.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:43,500,69250.0,10,69290.0,30,347790.6584264321,20211007
20211008,cu2110,69270.0,68450.0,68350.0,0.0,69290.0,69920.0,69200.0,21035,7315776500.0,36675.0,1.7976931348623157e+308,1.7976931348623157e+308,74610.0,62280.0,0.0,1.7976931348623157e+308,16:46:44,0,69250.0,10,69290.0,25,347790.6584264321,20211007
